"Symbol","Last","Chg(%)","Vol","ema7","ema12","ema20","ema60","ema120","ema144","ema169","ma20","ma60","ma120","slopeema12","slopeema20","d20_slp_of_ema12","d20_slp_of_ema20",
GIS,58.36,-4.44,4559000,60.00,60.26,60.51,61.08,60.76,60.42,60.02,60.87,61.24,61.92,0,0,-0.09,-0.05,
PXD,88.37,14.26,4540000,82.60,82.82,83.89,89.17,93.54,95.26,97.13,84.00,91.65,95.11,0,0,-0.42,-0.39,
HIG,44.87,13.88,4445300,40.57,39.87,39.35,39.11,40.17,40.80,41.48,38.98,38.94,39.72,0,0,0.07,0.05,
MMM,163.43,0.25,4415100,162.92,163.38,163.98,163.50,161.45,161.12,161.07,165.38,164.69,161.04,0,0,-0.22,-0.10,
NWSA,15.67,3.36,4351400,14.39,14.12,14.04,14.01,13.56,13.42,13.32,13.87,14.47,13.53,0,0,-0.04,-0.04,
IRM,26.65,-0.60,4331900,26.85,26.92,27.08,27.61,27.80,27.91,28.05,27.12,28.24,27.79,0,0,-0.05,-0.04,
JNPR,21.42,4.03,4058200,20.67,20.80,21.11,22.13,22.68,22.80,22.92,21.31,22.43,23.20,0,0,-0.10,-0.08,
PNC,127.98,11.60,3978400,117.87,115.94,114.47,111.83,111.98,112.78,113.78,113.20,111.35,110.10,0,0,0.09,0.08,
RL,81.74,19.80,3793900,72.63,72.32,72.44,72.59,74.66,76.00,77.51,73.06,72.41,72.92,0,0,-0.08,-0.03,
HCA,147.32,6.37,3778600,137.50,135.42,133.96,129.97,125.60,124.78,124.29,134.14,131.92,121.36,0,0,0.08,0.12,
IP,47.36,1.87,3763600,46.16,45.71,45.07,42.14,40.01,39.67,39.49,45.55,41.39,38.50,0,0,0.13,0.16,
LYB,79.39,9.25,3436400,74.16,73.91,74.04,72.75,71.01,70.93,71.10,74.68,72.93,70.05,0,0,-0.22,-0.11,
PFG,47.64,15.16,3426900,42.90,42.15,41.75,41.63,41.87,42.14,42.50,41.40,41.68,42.17,0,0,-0.04,-0.02,
MNST,81.35,-2.29,3369100,81.31,80.77,80.50,79.72,76.80,75.66,74.56,80.44,81.14,77.19,0,0,-0.07,-0.05,
NRG,31.92,2.21,3362200,32.03,32.19,32.24,32.41,32.87,33.06,33.27,32.73,32.37,33.28,0,0,0.0037,0.03,
KMB,132.66,-2.58,3282900,134.73,136.31,138.89,144.44,144.70,144.26,143.69,140.70,147.72,146.13,0,0,-0.98,-0.74,
RHI,62.11,20.04,3279800,54.31,53.63,53.60,53.63,53.09,53.03,53.07,53.76,54.04,53.34,0,0,-0.28,-0.18,
LKQ,35.44,4.36,3260200,33.93,33.25,32.54,31.02,29.90,29.67,29.50,32.37,31.16,29.43,0,0,0.14,0.12,
MMC,110.58,0.93,3255100,108.74,109.01,110.00,112.13,111.08,110.47,109.82,110.40,113.77,112.12,0,0,-0.43,-0.34,
INFO,91.15,2.99,3254800,86.81,85.07,83.51,80.74,78.20,77.36,76.54,82.73,80.51,78.14,0,0,0.26,0.20,
LIN,257.65,2.93,3184300,243.22,238.64,236.45,236.01,229.74,227.05,224.45,233.06,240.52,232.07,0,0,-0.28,-0.36,
PKI,128.09,-9.35,3100200,133.18,131.51,129.46,122.95,115.27,112.90,110.79,127.76,122.53,114.18,0,0,0.34,0.29,
MAS,53.74,-7.46,3089400,55.81,55.69,55.72,55.61,53.51,52.66,51.85,55.66,56.81,54.00,0,0,-0.09,-0.07,
MTB,123.92,25.10,3062500,107.47,105.26,103.49,102.12,105.83,108.06,110.50,102.47,101.10,103.76,0,0,0.25,0.21,
K,62.96,-2.16,2920600,63.88,64.21,64.58,65.55,65.80,65.74,65.63,65.18,66.02,66.49,0,0,-0.09,-0.05,
NTAP,49.65,5.62,2895300,46.81,46.26,45.88,44.96,45.04,45.40,45.89,46.12,44.62,44.24,0,0,-0.01,0.02,
GOOGL,1761.42,0.10,2670000,1709.69,1671.05,1631.89,1561.64,1509.58,1492.12,1475.50,1616.34,1557.74,1514.62,16,13,7.48,6.08,
PEG,60.38,3.36,2495700,59.22,59.15,58.76,56.44,54.86,54.64,54.54,59.35,55.58,53.68,0,0,0.14,0.17,
MCHP,126.51,0.98,2458000,117.65,114.65,112.41,107.98,104.14,102.99,101.97,111.61,107.56,104.95,0,0,0.08,0.13,
PCAR,90.60,0.57,2453700,89.74,89.43,89.06,86.88,83.37,82.25,81.25,89.44,87.18,82.94,0,0,0.04,0.08,
PNR,52.83,-2.44,2433700,52.48,51.79,50.92,47.80,44.92,44.20,43.61,50.94,47.52,43.88,0,0,0.18,0.19,
LW,75.87,14.28,2421900,69.04,68.57,68.54,67.34,66.82,67.01,67.28,69.25,66.65,65.50,0,0,-0.24,-0.11,
OTIS,63.50,-0.13,2420100,62.81,62.74,62.84,62.23,59.75,58.76,57.81,63.16,62.77,60.46,0,0,-0.14,-0.07,
HSIC,68.00,10.26,2412100,63.38,63.10,62.81,62.57,62.22,62.15,62.12,63.07,62.82,62.66,0,0,0.17,0.14,
PAYX,90.59,2.92,2402700,86.77,85.49,84.23,80.49,78.07,77.71,77.50,84.00,79.67,76.67,0,0,0.15,0.17,
PVH,70.84,19.86,2402400,63.36,62.69,62.50,60.74,59.46,60.00,60.98,62.17,61.62,55.94,0,0,-0.13,-0.09,
NOW,501.96,-6.21,2397400,510.31,507.82,504.89,482.93,448.25,436.04,424.42,509.13,484.02,447.53,13,14,-0.06,0.47,
GOOG,1763.00,0.07,2265300,1712.57,1674.72,1636.11,1565.73,1512.66,1494.89,1477.98,1621.26,1563.02,1516.45,16,13,7.51,6.12,
NUE,50.76,4.83,2250100,49.00,48.78,48.53,47.10,45.80,45.67,45.69,48.76,47.19,44.84,0,0,0.02,0.05,
MCK,178.51,4.44,2200400,166.33,161.72,158.22,153.77,151.50,150.74,149.96,156.15,152.66,153.04,0,0,0.29,0.22,
PH,252.79,6.41,2094300,232.78,227.32,222.98,211.85,200.94,198.06,195.65,221.83,212.42,198.80,0,0,0.35,0.41,
IFF,112.38,3.52,2059600,108.19,108.30,109.77,115.83,119.70,120.59,121.35,109.69,117.47,122.71,0,0,-0.70,-0.61,
